	tradeIn	model	storage	color	carrier	choose	sku	modelName	bespoke	type	price
	yes	Galaxy Z Flip7 FE	256 GB	BLACK	0	0	SM-F761BZKGEUB		FALSE	SMARTPHONE	999,-
	no	Galaxy Z Flip7 FE	521 GB	BLACK	0	0	SM-F761BZKHEUB		FALSE	SMARTPHONE	999,-
	yes	Galaxy Z Flip7 FE	256 GB	WHITE	0	0	SM-F761BZWGEUB		FALSE	SMARTPHONE	999,-
	no	Galaxy Z Flip7 FE	521 GB	WHITE	0	0	SM-F761BZWHEUB		FALSE	SMARTPHONE	999,-
	yes	Galaxy Z Flip7	256 GB	BLUESHADOW	0	0	SM-F766BDBGEUB		FALSE	SMARTPHONE	1199,-
	no	Galaxy Z Flip7	521 GB	BLUESHADOW	0	0	SM-F766BDBHEUB		FALSE	SMARTPHONE	1199,-
	yes	Galaxy Z Flip7 (Online Exclusive)	256 GB	MINT	0	0	SM-F766BLGGEUB		FALSE	SMARTPHONE	1199,-
	no	Galaxy Z Flip7 (Online Exclusive)	521 GB	MINT	0	0	SM-F766BLGHEUB		FALSE	SMARTPHONE	1199,-
	yes	Galaxy Z Flip7	256 GB	JETBLACK	0	0	SM-F766BZKGEUB		FALSE	SMARTPHONE	1199,-
	no	Galaxy Z Flip7	521 GB	JETBLACK	0	0	SM-F766BZKHEUB		FALSE	SMARTPHONE	1199,-
	yes	Galaxy Z Flip7	256 GB	CORALRED	0	0	SM-F766BZRGEUB		FALSE	SMARTPHONE	1199,-
	no	Galaxy Z Flip7	521 GB	CORALRED	0	0	SM-F766BZRHEUB		FALSE	SMARTPHONE	1199,-
	yes	Galaxy Z Fold7	256 GB	BLUESHADOW	0	0	SM-F966BDBBEUB		FALSE	SMARTPHONE	2099,-
	no	Galaxy Z Fold7	521 GB	BLUESHADOW	0	0	SM-F966BDBCEUB		FALSE	SMARTPHONE	2099,-
	yes	Galaxy Z Fold7	1 TB	BLUESHADOW	0	0	SM-F966BDBNEUB		FALSE	SMARTPHONE	2369,-
	no	Galaxy Z Fold7 (Online Exclusive)	256 GB	MINT	0	0	SM-F966BLGBEUB		FALSE	SMARTPHONE	2099,-
	yes	Galaxy Z Fold7 (Online Exclusive)	521 GB	MINT	0	0	SM-F966BLGCEUB		FALSE	SMARTPHONE	2099,-
	no	Galaxy Z Fold7	256 GB	JETBLACK	0	0	SM-F966BZKBEUB		FALSE	SMARTPHONE	2099,-
	yes	Galaxy Z Fold7	521 GB	JETBLACK	0	0	SM-F966BZKCEUB		FALSE	SMARTPHONE	2099,-
	no	Galaxy Z Fold7	1 TB	JETBLACK	0	0	SM-F966BZKNEUB		FALSE	SMARTPHONE	2369,-
	yes	Galaxy Z Fold7 (Online Exclusive)	256 GB	SILVERSHADOW	0	0	SM-F966BZSBEUB		FALSE	SMARTPHONE	2099,-
	no	Galaxy Z Fold7 (Online Exclusive)	521 GB	SILVERSHADOW	0	0	SM-F966BZSCEUB		FALSE	SMARTPHONE	2099,-
	yes	Galaxy Watch8 (Bluetooth, 44 mm)		GRAPHITE	0	0	SM-L330NDAAEUB		FALSE	WATCHES	409,-
	no	Galaxy Watch8 (Bluetooth, 44 mm)		GRAPHITE	0	0	SM-L330NDADWEU		TRUE	WATCHES	359,-
	yes	Galaxy Watch8 (Bluetooth, 44 mm)		SILVER	0	0	SM-L330NZSAEUB		FALSE	WATCHES	409,-
	no	Galaxy Watch8 (Bluetooth, 44 mm)		SILVER	0	0	SM-L330NZSDWEU		TRUE	WATCHES	359,-
	yes	Galaxy Watch8 (Bluetooth, 40 mm)		GRAPHITE	0	0	SM-L320NDAAEUB		FALSE	WATCHES	379,-
	no	Galaxy Watch8 (Bluetooth, 40 mm)		GRAPHITE	0	0	SM-L320NDADWEU		TRUE	WATCHES	329,-
	yes	Galaxy Watch8 (Bluetooth, 40 mm)		SILVER	0	0	SM-L320NZSAEUB		FALSE	WATCHES	379,-
	no	Galaxy Watch8 (Bluetooth, 40 mm)		SILVER	0	0	SM-L320NZSDWEU		TRUE	WATCHES	329,-
	yes	Galaxy Watch8 (LTE, 44 mm)		GRAPHITE	0	0	SM-L335FDAAEUB		FALSE	WATCHES	459,-
	no	Galaxy Watch8 (LTE, 44 mm)		SILVER	0	0	SM-L335FZSAEUB		FALSE	WATCHES	459,-
	yes	Galaxy Watch8 (LTE, 40 mm)		GRAPHITE	0	0	SM-L325FDAAEUB		FALSE	WATCHES	429,-
	no	Galaxy Watch8 (LTE, 40 mm)		SILVER	0	0	SM-L325FZSAEUB		FALSE	WATCHES	429,-
	yes	Galaxy Watch8 Classic (Bluetooth, 46mm)		BLACK	0	0	SM-L500NZKAEUB		FALSE	WATCHES	529,-
	no	Galaxy Watch8 Classic (Bluetooth, 46mm)		BLACK	0	0	SM-L500NZKDWEU		TRUE	WATCHES	469,-
	yes	Galaxy Watch8 Classic (Bluetooth, 46mm)		WHITE	0	0	SM-L500NZWAEUB		FALSE	WATCHES	529,-
	no	Galaxy Watch8 Classic (Bluetooth, 46mm)		WHITE	0	0	SM-L500NZWDWEU		TRUE	WATCHES	469,-
	yes	Galaxy Watch8 Classic (LTE, 46mm)		BLACK	0	0	SM-L505FZKAEUB		FALSE	WATCHES	579,-
	no	Galaxy Watch8 Classic (LTE, 46mm)		WHITE	0	0	SM-L505FZWAEUB		FALSE	WATCHES	579,-
	yes	Galaxy Watch Ultra (2025) (LTE, 47mm)		TITANIUMBLUE	0	0	SM-L705FZB2EUB		FALSE	WATCHES	699,-
	no	Galaxy Watch Ultra (2025) (LTE, 47mm)		TITANIUMGRAY	0	0	SM-L705FZA2EUB		FALSE	WATCHES	699,-
	yes	Galaxy Watch Ultra (2025) (LTE, 47mm)		TITANIUMWHITE	0	0	SM-L705FAW2EUB		FALSE	WATCHES	699,-
	no	Galaxy Watch Ultra (2025) (LTE, 47mm)		TITANIUMSILVER	0	0	SM-L705FZS2EUB		FALSE	WATCHES	699,-